episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
1,01/01/2018,0,0,0,0,0,0,0,,0,,100,0,0,0.0,1
2,01/02/2018,0,287,0,0,0,0,0,,0,,100,0,0,0.0,2
3,01/03/2018,1,288,-1,-1,33,0,6.0,00:00:00,0,,66,33,0,-0.3333333333333333,1
4,01/04/2018,1,288,-1,-2,50,0,6.0,00:00:00,0,,50,50,0,-0.5,2
5,01/05/2018,1,288,-1,-3,60,0,6.0,00:00:00,0,,40,60,0,-0.6,1
6,01/06/2018,1,288,-1,-4,66,0,6.0,00:00:00,0,,33,66,0,-0.6666666666666666,2
7,01/07/2018,1,288,-1,-5,71,0,6.0,00:00:00,0,,28,71,0,-0.7142857142857143,1
8,01/08/2018,1,288,-1,-6,75,0,6.0,00:00:00,0,,25,75,0,-0.75,2
9,01/09/2018,1,288,-1,-7,77,0,6.0,00:00:00,0,,22,77,0,-0.7777777777777778,1
10,01/10/2018,1,288,-1,-8,80,0,6.0,00:00:00,0,,20,80,0,-0.8,2
11,01/11/2018,1,288,-1,-9,81,0,6.0,00:00:00,0,,18,81,0,-0.8181818181818182,1
12,01/12/2018,1,288,-1,-10,83,0,6.0,00:00:00,0,,16,83,0,-0.8333333333333334,2
13,01/13/2018,1,288,-1,-11,84,0,6.0,00:00:00,0,,15,84,0,-0.8461538461538461,1
14,01/14/2018,1,288,-1,-12,85,0,6.0,00:00:00,0,,14,85,0,-0.8571428571428571,2
15,01/15/2018,1,288,-1,-13,86,0,6.0,00:00:00,0,,13,86,0,-0.8666666666666667,1
16,01/16/2018,1,288,-1,-14,87,0,6.0,00:00:00,0,,12,87,0,-0.875,2
17,01/17/2018,1,288,-1,-15,88,0,6.0,00:00:00,0,,11,88,0,-0.8823529411764706,1
18,01/18/2018,1,288,-1,-16,88,0,6.0,00:00:00,0,,11,88,0,-0.8888888888888888,2
19,01/19/2018,1,288,-1,-17,89,0,6.0,00:00:00,0,,10,89,0,-0.8947368421052632,1
20,01/20/2018,1,288,-1,-18,90,0,6.0,00:00:00,0,,10,90,0,-0.9,2
21,01/21/2018,1,288,-1,-19,90,0,6.0,00:00:00,0,,9,90,0,-0.9047619047619048,1
22,01/22/2018,1,288,-1,-20,90,0,6.0,00:00:00,0,,9,90,0,-0.9090909090909091,2
23,01/23/2018,1,288,-1,-21,91,0,6.0,00:00:00,0,,8,91,0,-0.9130434782608695,1
24,01/24/2018,1,288,-1,-22,91,0,6.0,00:00:00,0,,8,91,0,-0.9166666666666666,2
25,01/25/2018,1,288,-1,-23,92,0,6.0,00:00:00,0,,8,92,0,-0.92,1
26,01/26/2018,1,288,-1,-24,92,0,6.0,00:00:00,0,,7,92,0,-0.9230769230769231,2
27,01/27/2018,1,288,-1,-25,92,0,6.0,00:00:00,0,,7,92,0,-0.9259259259259259,1
28,01/28/2018,1,288,-1,-26,92,0,6.0,00:00:00,0,,7,92,0,-0.9285714285714286,2
29,01/29/2018,1,288,-1,-27,93,0,6.0,00:00:00,0,,6,93,0,-0.9310344827586207,1
30,01/30/2018,1,288,-1,-28,93,0,6.0,00:00:00,0,,6,93,0,-0.9333333333333333,2
31,01/31/2018,1,288,-1,-29,93,0,6.0,00:00:00,0,,6,93,0,-0.9354838709677419,1
32,02/01/2018,1,288,-1,-30,93,0,6.0,00:00:00,0,,6,93,0,-0.9375,2
33,02/02/2018,1,288,-1,-31,93,0,6.0,00:00:00,0,,6,93,0,-0.9393939393939394,1
34,02/03/2018,1,288,-1,-32,94,0,6.0,00:00:00,0,,5,94,0,-0.9411764705882353,2
35,02/04/2018,1,288,-1,-33,94,0,6.0,00:00:00,0,,5,94,0,-0.9428571428571428,1
36,02/05/2018,1,288,-1,-34,94,0,6.0,00:00:00,0,,5,94,0,-0.9444444444444444,2
37,02/06/2018,1,288,-1,-35,94,0,6.0,00:00:00,0,,5,94,0,-0.9459459459459459,1
38,02/07/2018,1,288,-1,-36,94,0,6.0,00:00:00,0,,5,94,0,-0.9473684210526315,2
39,02/08/2018,1,288,-1,-37,94,0,6.0,00:00:00,0,,5,94,0,-0.9487179487179487,1
40,02/09/2018,1,288,-1,-38,95,0,6.0,00:00:00,0,,5,95,0,-0.95,2
41,02/10/2018,1,288,-1,-39,95,0,6.0,00:00:00,0,,4,95,0,-0.9512195121951219,1
42,02/11/2018,1,288,-1,-40,95,0,6.0,00:00:00,0,,4,95,0,-0.9523809523809523,2
43,02/12/2018,1,288,-1,-41,95,0,6.0,00:00:00,0,,4,95,0,-0.9534883720930233,1
44,02/13/2018,1,288,-1,-42,95,0,6.0,00:00:00,0,,4,95,0,-0.9545454545454546,2
45,02/14/2018,1,288,-1,-43,95,0,6.0,00:00:00,0,,4,95,0,-0.9555555555555556,1
46,02/15/2018,1,288,-1,-44,95,0,6.0,00:00:00,0,,4,95,0,-0.9565217391304348,2
47,02/16/2018,1,288,-1,-45,95,0,6.0,00:00:00,0,,4,95,0,-0.9574468085106383,1
48,02/17/2018,1,288,-1,-46,95,0,6.0,00:00:00,0,,4,95,0,-0.9583333333333334,2
49,02/18/2018,1,288,-1,-47,95,0,6.0,00:00:00,0,,4,95,0,-0.9591836734693877,1
50,02/19/2018,1,288,-1,-48,96,0,6.0,00:00:00,0,,4,96,0,-0.96,2
51,02/20/2018,1,288,-1,-49,96,0,6.0,00:00:00,0,,3,96,0,-0.9607843137254902,1
52,02/21/2018,1,288,-1,-50,96,0,6.0,00:00:00,0,,3,96,0,-0.9615384615384616,2
53,02/22/2018,1,288,-1,-51,96,0,6.0,00:00:00,0,,3,96,0,-0.9622641509433962,1
54,02/23/2018,1,288,-1,-52,96,0,6.0,00:00:00,0,,3,96,0,-0.9629629629629629,2
55,02/24/2018,1,288,-1,-53,96,0,6.0,00:00:00,0,,3,96,0,-0.9636363636363636,1
56,02/25/2018,1,288,-1,-54,96,0,6.0,00:00:00,0,,3,96,0,-0.9642857142857143,2
57,02/26/2018,1,288,-1,-55,96,0,6.0,00:00:00,0,,3,96,0,-0.9649122807017544,1
58,02/27/2018,1,288,-1,-56,96,0,6.0,00:00:00,0,,3,96,0,-0.9655172413793104,2
59,02/28/2018,1,288,-1,-57,96,0,6.0,00:00:00,0,,3,96,0,-0.9661016949152542,1
60,03/01/2018,1,288,-1,-58,96,0,6.0,00:00:00,0,,3,96,0,-0.9666666666666667,2
61,03/02/2018,1,288,-1,-59,96,0,6.0,00:00:00,0,,3,96,0,-0.9672131147540983,1
62,03/03/2018,1,288,-1,-60,96,0,6.0,00:00:00,0,,3,96,0,-0.967741935483871,2
63,03/04/2018,1,288,-1,-61,96,0,6.0,00:00:00,0,,3,96,0,-0.9682539682539683,1
64,03/05/2018,1,288,-1,-62,96,0,6.0,00:00:00,0,,3,96,0,-0.96875,2
65,03/06/2018,1,288,-1,-63,96,0,6.0,00:00:00,0,,3,96,0,-0.9692307692307692,1
66,03/07/2018,1,288,-1,-64,96,0,6.0,00:00:00,0,,3,96,0,-0.9696969696969697,2
67,03/08/2018,1,288,-1,-65,97,0,6.0,00:00:00,0,,2,97,0,-0.9701492537313433,1
68,03/09/2018,1,288,-1,-66,97,0,6.0,00:00:00,0,,2,97,0,-0.9705882352941176,2
69,03/10/2018,1,288,-1,-67,97,0,6.0,00:00:00,0,,2,97,0,-0.9710144927536232,1
70,03/11/2018,1,288,-1,-68,97,0,6.0,00:00:00,0,,2,97,0,-0.9714285714285714,2
71,03/12/2018,1,288,-1,-69,97,0,6.0,00:00:00,0,,2,97,0,-0.971830985915493,1
72,03/13/2018,1,288,-1,-70,97,0,6.0,00:00:00,0,,2,97,0,-0.9722222222222222,2
73,03/14/2018,1,288,-1,-71,97,0,6.0,00:00:00,0,,2,97,0,-0.9726027397260274,1
74,03/15/2018,1,288,-1,-72,97,0,6.0,00:00:00,0,,2,97,0,-0.972972972972973,2
75,03/16/2018,1,288,-1,-73,97,0,6.0,00:00:00,0,,2,97,0,-0.9733333333333334,1
76,03/17/2018,1,288,-1,-74,97,0,6.0,00:00:00,0,,2,97,0,-0.9736842105263158,2
77,03/18/2018,1,288,-1,-75,97,0,6.0,00:00:00,0,,2,97,0,-0.974025974025974,1
78,03/19/2018,1,288,-1,-76,97,0,6.0,00:00:00,0,,2,97,0,-0.9743589743589743,2
79,03/20/2018,1,288,-1,-77,97,0,6.0,00:00:00,0,,2,97,0,-0.9746835443037974,1
80,03/21/2018,1,288,-1,-78,97,0,6.0,00:00:00,0,,2,97,0,-0.975,2
81,03/22/2018,1,288,-1,-79,97,0,6.0,00:00:00,0,,2,97,0,-0.9753086419753086,1
82,03/23/2018,1,288,-1,-80,97,0,6.0,00:00:00,0,,2,97,0,-0.975609756097561,2
83,03/24/2018,1,288,-1,-81,97,0,6.0,00:00:00,0,,2,97,0,-0.9759036144578314,1
84,03/25/2018,1,288,-1,-82,97,0,6.0,00:00:00,0,,2,97,0,-0.9761904761904762,2
85,03/26/2018,1,288,-1,-83,97,0,6.0,00:00:00,0,,2,97,0,-0.9764705882352941,1
86,03/27/2018,1,288,-1,-84,97,0,6.0,00:00:00,0,,2,97,0,-0.9767441860465116,2
87,03/28/2018,1,288,-1,-85,97,0,6.0,00:00:00,0,,2,97,0,-0.9770114942528736,1
88,03/29/2018,1,288,-1,-86,97,0,6.0,00:00:00,0,,2,97,0,-0.9772727272727273,2
89,03/30/2018,1,288,-1,-87,97,0,6.0,00:00:00,0,,2,97,0,-0.9775280898876404,1
90,03/31/2018,1,288,-1,-88,97,0,6.0,00:00:00,0,,2,97,0,-0.9777777777777777,2
91,04/01/2018,1,288,-1,-89,97,0,6.0,00:00:00,0,,2,97,0,-0.978021978021978,1
92,04/02/2018,1,288,-1,-90,97,0,6.0,00:00:00,0,,2,97,0,-0.9782608695652174,2
93,04/03/2018,1,288,-1,-91,97,0,6.0,00:00:00,0,,2,97,0,-0.978494623655914,1
94,04/04/2018,1,288,-1,-92,97,0,6.0,00:00:00,0,,2,97,0,-0.9787234042553191,2
95,04/05/2018,1,288,-1,-93,97,0,6.0,00:00:00,0,,2,97,0,-0.9789473684210527,1
96,04/06/2018,1,288,-1,-94,97,0,6.0,00:00:00,0,,2,97,0,-0.9791666666666666,2
97,04/07/2018,1,288,-1,-95,97,0,6.0,00:00:00,0,,2,97,0,-0.979381443298969,1
98,04/08/2018,1,288,-1,-96,97,0,6.0,00:00:00,0,,2,97,0,-0.9795918367346939,2
99,04/09/2018,1,288,-1,-97,97,0,6.0,00:00:00,0,,2,97,0,-0.9797979797979798,1
100,04/10/2018,1,288,-1,-98,98,0,6.0,00:00:00,0,,2,98,0,-0.98,2
101,04/11/2018,1,288,-1,-99,98,0,6.0,00:00:00,0,,1,98,0,-0.9801980198019802,1
102,04/12/2018,1,288,-1,-100,98,0,6.0,00:00:00,0,,1,98,0,-0.9803921568627451,2
