episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
1,01/03/2000,0,0,0,0,0,0,0,,0,,100,0,0,0.0,1
2,01/04/2000,1,1,0,0,0,0,6.0,00:00:00,0,,50,50,0,0.0,2
3,01/05/2000,1,1,0,0,0,0,6.0,00:00:00,0,,33,66,0,0.0,1
4,01/06/2000,1,1,0,0,0,0,6.0,00:00:00,0,,25,75,0,0.0,2
5,01/07/2000,1,1,0,0,0,0,6.0,00:00:00,0,,20,80,0,0.0,1
6,01/08/2000,1,1,0,0,0,0,6.0,00:00:00,0,,16,83,0,0.0,2
7,01/09/2000,1,1,0,0,0,0,6.0,00:00:00,0,,14,85,0,0.0,1
8,01/10/2000,1,1,0,0,0,0,6.0,00:00:00,0,,12,87,0,0.0,2
9,01/11/2000,1,1,0,0,0,0,6.0,00:00:00,0,,11,88,0,0.0,1
10,01/12/2000,1,1,0,0,0,0,6.0,00:00:00,0,,10,90,0,0.0,2
11,01/13/2000,1,1,0,0,0,0,6.0,00:00:00,0,,9,90,0,0.0,1
12,01/14/2000,1,1,0,0,0,0,6.0,00:00:00,0,,8,91,0,0.0,2
13,01/15/2000,1,1,0,0,0,0,6.0,00:00:00,0,,7,92,0,0.0,1
14,01/16/2000,1,1,0,0,0,0,6.0,00:00:00,0,,7,92,0,0.0,2
15,01/17/2000,1,1,0,0,0,0,6.0,00:00:00,0,,6,93,0,0.0,1
16,01/18/2000,1,1,0,0,0,0,6.0,00:00:00,0,,6,93,0,0.0,2
17,01/19/2000,1,1,0,0,0,0,6.0,00:00:00,0,,5,94,0,0.0,1
18,01/20/2000,1,1,0,0,0,0,6.0,00:00:00,0,,5,94,0,0.0,2
19,01/21/2000,1,1,0,0,0,0,6.0,00:00:00,0,,5,94,0,0.0,1
20,01/22/2000,1,1,0,0,0,0,6.0,00:00:00,0,,5,95,0,0.0,2
21,01/23/2000,1,1,0,0,0,0,6.0,00:00:00,0,,4,95,0,0.0,1
22,01/24/2000,1,1,0,0,0,0,6.0,00:00:00,0,,4,95,0,0.0,2
23,01/25/2000,1,1,0,0,0,0,6.0,00:00:00,0,,4,95,0,0.0,1
24,01/26/2000,1,1,0,0,0,0,6.0,00:00:00,0,,4,95,0,0.0,2
25,01/27/2000,1,1,0,0,0,0,6.0,00:00:00,0,,4,96,0,0.0,1
26,01/28/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,2
27,01/29/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,1
28,01/30/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,2
29,01/31/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,1
30,02/01/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,2
31,02/02/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,1
32,02/03/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,2
33,02/04/2000,1,1,0,0,0,0,6.0,00:00:00,0,,3,96,0,0.0,1
34,02/05/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
35,02/06/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
36,02/07/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
37,02/08/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
38,02/09/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
39,02/10/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
40,02/11/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
41,02/12/2000,1,2,0,0,0,0,6.090993826136137,00:05:00,0,,2,97,0,0.0,1
42,02/13/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
43,02/14/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
44,02/15/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
45,02/16/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
46,02/17/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
47,02/18/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
48,02/19/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,2
49,02/20/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,97,0,0.0,1
50,02/21/2000,1,1,0,0,0,0,6.0,00:00:00,0,,2,98,0,0.0,2
51,02/22/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
52,02/23/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
53,02/24/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
54,02/25/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
55,02/26/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
56,02/27/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
57,02/28/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
58,02/29/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
59,03/01/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
60,03/02/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
61,03/03/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
62,03/04/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
63,03/05/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
64,03/06/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
65,03/07/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
66,03/08/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
67,03/09/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
68,03/10/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,2
69,03/11/2000,1,1,0,0,0,0,6.0,00:00:00,0,,1,98,0,0.0,1
