episode,date,operation,steps,reward,capital,missPerc,hitPerc,indexIn,timeIn,indexOut,timeOut,hold,long,short,avgRw,day
28740,09/16/2006,1,4,0,8468.144540974548,49,50,6.181950612356192,00:10:00,0,,0,50,49,0.2946466437360664,2
28741,09/17/2006,2,2,-16.158575324332336,8451.985965650216,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.2940741785480747,1
28742,09/18/2006,1,4,9.091975447097767,8461.077941097314,49,50,6.090993826136137,00:05:00,6.272833335078093,00:15:00,0,50,49,0.2943802776806525,2
28743,09/19/2006,2,3,-15.985409652582616,8445.09253144473,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.2938138862138514,1
28744,09/20/2006,2,9,-18.061918327512714,8427.030613117218,49,50,6.363605003380562,00:20:00,6.7248433699308166,00:40:00,0,50,49,0.2931752926912475,2
28745,09/21/2006,2,4,-47.78497068414045,8379.245642433078,49,50,6.0,00:00:00,6.955699413682809,00:15:00,0,50,49,0.29150271847044973,1
28746,09/22/2006,1,2,4.549691306806869,8383.795333739885,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.29165084998747254,2
28747,09/23/2006,1,4,15.640985707225497,8399.43631944711,49,50,6.642879699538299,00:10:00,6.955699413682809,00:15:00,0,50,49,0.2921847956116155,1
28748,09/24/2006,1,2,4.549691306806869,8403.986010753917,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.29233289309704735,2
28749,09/25/2006,2,7,-90.99671369134037,8312.989297062577,49,50,6.0,00:00:00,7.819934273826807,00:30:00,0,50,49,0.28915751146344487,1
28750,09/26/2006,1,4,13.641666753904635,8326.630963816482,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.2896219465675298,2
28751,09/27/2006,1,3,32.14398497691495,8358.774948793398,49,50,6.0,00:00:00,6.642879699538299,00:10:00,0,50,49,0.2907298858750443,1
28752,09/28/2006,2,2,-4.549691306806869,8354.22525748659,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.2905615351101346,2
28753,09/29/2006,2,2,-16.158575324332336,8338.066682162258,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.28998945091511347,1
28754,09/30/2006,1,2,4.549691306806869,8342.616373469065,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.29013759384673665,2
28755,10/01/2006,2,7,-90.99671369134037,8251.619659777725,49,50,6.0,00:00:00,7.819934273826807,00:30:00,0,50,49,0.2869629511312024,1
28756,10/02/2006,2,4,-13.641666753904635,8237.97799302382,49,50,6.0,00:00:00,6.272833335078093,00:15:00,0,50,49,0.28647857814104255,2
28757,10/03/2006,2,2,-16.158575324332336,8221.819417699488,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.2859067155022947,1
28758,10/04/2006,2,2,-4.549691306806869,8217.26972639268,49,50,6.0,00:00:00,6.090993826136137,00:05:00,0,50,49,0.28573856757746297,2
28759,10/05/2006,1,5,15.129097274795056,8232.398823667476,49,50,6.955699413682809,00:15:00,7.25828135917871,00:20:00,0,50,49,0.28625469674423576,1
28760,10/06/2006,2,3,-9.097530617809602,8223.301293049666,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.28592841769991884,2
28761,10/07/2006,2,2,-16.158575324332336,8207.142717725334,49,50,6.0,00:00:00,6.323171506486647,00:05:00,0,50,49,0.285356653722935,1
28762,10/08/2006,2,3,-9.097530617809602,8198.045187107524,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.2850304285900676,2
28763,10/09/2006,2,5,-30.770082982020554,8167.275104125503,49,50,6.642879699538299,00:10:00,7.25828135917871,00:20:00,0,50,49,0.2839507389398013,1
28764,10/10/2006,2,3,-9.097530617809602,8158.1775735076935,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.28362458536739305,2
28765,10/11/2006,1,3,15.985409652582616,8174.162983160276,49,50,6.323171506486647,00:05:00,6.642879699538299,00:10:00,0,50,49,0.28417044961447163,1
28766,10/12/2006,1,10,31.62782867731253,8205.790811837589,49,50,6.181950612356192,00:10:00,6.814507185902443,00:45:00,0,50,49,0.2852600574232632,2
28767,10/13/2006,2,13,-131.904975914245,8073.885835923344,49,50,6.323171506486647,00:05:00,8.961271024771547,01:00:00,0,50,49,0.28066485333623054,1
28768,10/14/2006,1,3,9.097530617809602,8082.983366541153,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.28097133504383875,2
28769,10/15/2006,1,7,90.99671369134037,8173.9800802324935,49,50,6.0,00:00:00,7.819934273826807,00:30:00,0,50,49,0.2841245813282524,1
28770,10/16/2006,1,3,9.097530617809602,8183.077610850303,49,50,6.0,00:00:00,6.181950612356192,00:10:00,0,50,49,0.28443092147550586,2
